ratio_percent;simu;scenario;variable
10452.505966603;simu5;scesizespectrastopifchok;av_bwtrip
11154.05343039;simu6;scesizespectrastopifchok;av_bwtrip
4076.20422001148;simu7;scesizespectrastopifchok;av_bwtrip
7667.52940756217;simu8;scesizespectrastopifchok;av_bwtrip
7136.12001386376;simu9;scesizespectrastopifchok;av_bwtrip
7399.91986626527;simu10;scesizespectrastopifchok;av_bwtrip
8813.25186166263;simu1;sceavchokpszpctrastopifchok;av_bwtrip
6733.59508367712;simu2;sceavchokpszpctrastopifchok;av_bwtrip
4781.66606756321;simu3;sceavchokpszpctrastopifchok;av_bwtrip
8062.08351932568;simu4;sceavchokpszpctrastopifchok;av_bwtrip
6536.25791082302;simu5;sceavchokpszpctrastopifchok;av_bwtrip
6805.70347854581;simu6;sceavchokpszpctrastopifchok;av_bwtrip
4085.13785838797;simu7;sceavchokpszpctrastopifchok;av_bwtrip
7208.31560756966;simu8;sceavchokpszpctrastopifchok;av_bwtrip
9310.61481849458;simu9;sceavchokpszpctrastopifchok;av_bwtrip
5340.12620434349;simu10;sceavchokpszpctrastopifchok;av_bwtrip
0.0751588387510225;simu1;sceavhtariffspszpctratariffs;av_bwtrip
-0.310565828455168;simu2;sceavhtariffspszpctratariffs;av_bwtrip
-0.460723096526124;simu3;sceavhtariffspszpctratariffs;av_bwtrip
-0.303757177382096;simu4;sceavhtariffspszpctratariffs;av_bwtrip
-0.660097067110414;simu5;sceavhtariffspszpctratariffs;av_bwtrip
-0.228358842187092;simu6;sceavhtariffspszpctratariffs;av_bwtrip
-0.214718607539368;simu7;sceavhtariffspszpctratariffs;av_bwtrip
-0.209485327745639;simu8;sceavhtariffspszpctratariffs;av_bwtrip
-0.106219031919096;simu9;sceavhtariffspszpctratariffs;av_bwtrip
-0.207522328652132;simu10;sceavhtariffspszpctratariffs;av_bwtrip
-0.123458080560269;simu1;scetrgthtariffspszpctratariffs;av_bwtrip
-0.0520386699081996;simu2;scetrgthtariffspszpctratariffs;av_bwtrip
-1.09096467535657;simu3;scetrgthtariffspszpctratariffs;av_bwtrip
-0.404807108835328;simu4;scetrgthtariffspszpctratariffs;av_bwtrip
-1.65887572074539;simu5;scetrgthtariffspszpctratariffs;av_bwtrip
-1.51808517169057;simu6;scetrgthtariffspszpctratariffs;av_bwtrip
-0.0469125304702516;simu7;scetrgthtariffspszpctratariffs;av_bwtrip
0.155991785207448;simu8;scetrgthtariffspszpctratariffs;av_bwtrip
-0.385059892506504;simu9;scetrgthtariffspszpctratariffs;av_bwtrip
0.126109863678337;simu10;scetrgthtariffspszpctratariffs;av_bwtrip
0.327451262076252;simu1;sceannualcodclosure;av_bwtrip
-0.0188147481508452;simu2;sceannualcodclosure;av_bwtrip
-0.0592587025905971;simu3;sceannualcodclosure;av_bwtrip
